"Id","dg","de","des","f1","f2","f3","f4","cr1","cr2","cr3","s1","s2","s3","s4","e1","e2","e3","at1","at2","at3","sa1"
1,0,2,4,4,2,4,3,2,2,1,3,3,3,3,3,2,3,2,3,3,3
2,1,3,4,4,2,4,3,3,2,1,3,2,3,3,3,2,3,2,3,3,3
3,1,3,4,4,2,4,3,3,2,1,3,2,3,3,3,2,3,2,3,3,3
4,0,4,4,1,3,2,3,3,1,2,1,1,2,2,1,2,2,3,3,2,3
5,1,2,3,4,4,4,4,2,3,4,3,3,4,2,4,4,4,4,4,4,3
6,0,3,3,4,4,4,4,3,3,4,4,3,4,2,4,4,4,4,4,4,3
7,0,1,3,3,3,2,2,3,2,3,4,3,3,3,3,3,3,3,3,3,4
8,0,1,3,3,3,2,2,3,2,3,4,3,3,3,3,3,3,3,3,3,4
9,0,2,4,3,2,3,3,2,2,1,3,2,3,3,3,2,3,2,3,3,3
10,0,3,5,4,3,3,3,3,3,2,2,3,3,3,2,3,2,3,3,3,3
11,0,5,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
12,1,1,3,3,2,3,2,3,3,3,3,2,3,3,3,3,2,3,2,3,3
13,1,2,5,3,2,3,3,3,3,2,3,3,2,3,3,2,2,3,3,2,3
14,0,2,4,3,3,4,3,3,2,2,3,2,2,3,3,2,2,3,1,1,3
15,1,2,3,4,4,4,4,3,2,3,3,3,3,3,3,2,4,3,3,3,3
16,0,2,4,3,4,2,3,3,2,2,3,3,3,3,2,3,3,2,3,3,3
17,1,2,4,3,3,3,2,2,3,2,3,3,2,2,2,2,3,3,3,3,2
18,1,2,1,3,4,3,4,4,4,3,3,4,4,3,3,2,4,4,4,3,3
19,0,5,1,1,1,1,1,2,2,1,1,1,1,2,1,1,1,2,1,1,1
20,1,4,3,2,2,3,2,2,2,2,3,2,3,2,2,1,2,2,2,2,2
21,0,3,3,3,3,3,2,1,1,2,3,3,3,3,3,3,2,3,4,4,3
22,0,3,1,1,2,3,2,1,1,2,2,1,2,2,3,3,2,3,3,4,2
23,0,1,4,1,1,1,1,1,1,1,1,1,1,1,1,4,1,1,1,1,1
24,1,2,4,4,3,4,4,4,4,4,4,4,4,4,3,3,3,3,4,4,3
25,1,3,4,3,3,4,4,3,3,4,3,4,4,4,3,3,3,4,4,4,3
26,1,3,5,4,3,4,4,3,3,3,3,3,3,3,4,3,3,3,3,3,3
27,0,3,4,4,3,3,4,3,4,3,4,4,3,3,4,3,4,4,3,3,3
28,0,4,4,3,3,4,4,3,4,3,3,4,3,3,4,4,3,3,4,4,4
29,0,2,3,3,4,4,3,4,3,4,4,4,3,3,4,3,4,4,4,4,3
30,0,4,5,2,3,4,3,3,3,3,3,3,3,3,4,2,3,4,4,4,3
31,1,5,4,3,3,4,3,2,3,3,3,2,3,3,3,3,4,3,3,4,3
32,0,3,3,3,3,4,3,3,4,2,3,4,2,3,3,3,3,4,3,3,3
33,0,4,3,3,4,3,3,4,4,4,4,3,4,3,4,4,4,4,3,4,4
34,0,2,5,4,4,4,3,4,4,3,4,4,4,4,3,3,4,3,3,3,4
35,0,4,4,3,4,3,3,4,3,3,3,4,2,3,3,2,3,4,3,3,3
36,0,3,2,3,2,3,3,3,3,3,4,3,4,4,3,3,4,4,4,4,4
37,1,4,2,3,4,4,4,3,3,4,3,4,4,3,3,4,3,3,2,3,3
38,0,1,4,4,4,4,4,3,3,4,2,4,4,4,4,3,4,4,4,4,4
39,0,5,3,3,2,3,4,2,2,3,3,3,4,3,3,4,3,3,2,3,3
40,1,4,3,3,3,4,3,3,2,3,2,3,3,2,2,3,2,2,2,2,3
41,0,5,1,2,3,2,2,3,2,2,2,2,2,3,2,2,3,2,2,2,3
42,1,2,2,3,2,3,2,3,2,3,3,2,3,2,3,2,3,3,2,2,2
43,0,2,3,3,2,3,2,3,3,3,3,2,2,2,2,2,3,2,2,3,2
44,0,2,5,3,3,2,3,3,2,3,3,2,2,3,2,3,3,3,2,3,3
45,1,5,2,2,3,3,2,2,3,2,3,3,3,3,2,2,2,3,2,3,2
46,1,1,3,1,1,2,2,2,2,1,3,2,2,3,2,2,2,3,3,3,2
47,1,3,3,2,3,3,2,2,2,1,3,2,2,2,4,3,2,3,2,1,3
48,1,1,3,3,2,3,2,2,3,2,1,2,2,1,3,1,2,2,3,2,3
49,1,5,3,3,3,3,4,3,4,4,4,4,4,4,4,4,4,4,3,3,3
50,1,3,5,4,4,4,4,4,4,4,4,3,4,3,3,4,4,3,3,3,3
